price,neighbourhood,latitude,longitude,property_type,bathrooms,bedrooms,beds,host_is_superhost,parking,room_type_Entire home/apt,room_type_Private room,room_type_Shared room
34,18.0,40.68812,-73.93254,21.0,1.0,1,1,1.0,1.0,0,1,0
75,18.0,40.71028,-73.96128,1.0,1.0,1,1,0.0,0.0,0,1,0
60,10.0,40.68884,-73.95059,1.0,1.0,1,1,1.0,1.0,0,1,0
300,101.0,40.7637299999999,-73.96897,1.0,1.0,1,3,0.0,0.0,1,0,0
60,18.0,40.72723,-73.95728,1.0,1.0,1,1,0.0,0.0,0,1,0
88,18.0,40.69135,-73.97321,1.0,1.0,1,1,0.0,0.0,1,0,0
200,50.0,40.79793,-73.9361199999999,1.0,1.0,1,1,0.0,0.0,0,1,0
135,18.0,40.68156,-73.96537,1.0,1.0,1,1,0.0,0.0,1,0,0
75,18.0,40.72868,-73.95835,1.0,1.0,1,1,1.0,0.0,0,1,0
30,136.0,40.77117,-73.91905,1.0,2.0,1,1,0.0,0.0,0,1,0
250,101.0,40.73729,-74.0080699999999,23.0,1.0,1,1,0.0,0.0,1,0,0
64,18.0,40.66984,-73.95141,1.0,1.0,1,1,0.0,0.0,0,1,0
300,101.0,40.82977,-73.94071,1.0,1.0,2,3,0.0,0.0,1,0,0
200,176.0,40.73879,-74.00425,1.0,1.0,2,2,0.0,0.0,1,0,0
140,18.0,40.73321,-73.9558699999999,23.0,1.0,2,2,0.0,1.0,1,0,0
90,90.0,40.6433,-73.97386,1.0,1.0,1,1,0.0,0.0,1,0,0
300,18.0,40.70766,-73.95191,1.0,1.0,3,4,0.0,0.0,1,0,0
175,101.0,40.76001,-73.99133,1.0,1.0,1,1,0.0,0.0,1,0,0
47,18.0,40.69657,-73.9129,1.0,1.0,1,1,0.0,0.0,0,1,0
179,101.0,40.72948,-73.98694,1.0,1.0,1,1,0.0,1.0,1,0,0
189,24.0,40.68353,-73.9914,1.0,1.0,2,2,0.0,0.0,1,0,0
249,101.0,40.7253,-73.99916,1.0,1.0,1,1,0.0,0.0,1,0,0
65,3.0,40.75295,-73.93228,7.0,1.0,2,4,0.0,0.0,0,1,0
209,101.0,40.7733799999999,-73.9888699999999,1.0,1.0,1,1,1.0,0.0,1,0,0
70,136.0,40.76856,-73.91828,1.0,1.0,1,1,0.0,0.0,1,0,0
199,111.0,40.7625,-73.9869,1.0,1.0,1,1,1.0,0.0,1,0,0
100,18.0,40.67335,-73.96,1.0,1.0,1,1,0.0,0.0,1,0,0
110,80.0,40.80497,-73.95146,1.0,1.0,1,1,0.0,0.0,1,0,0
192,3.0,40.76444,-73.92607,1.0,1.0,2,2,0.0,1.0,1,0,0
105,181.0,40.711,-73.96225,1.0,1.0,1,1,0.0,1.0,1,0,0
125,18.0,40.71095,-73.95239,1.0,1.0,1,2,0.0,0.0,0,1,0
60,18.0,40.7091799999999,-73.94881,1.0,1.0,1,1,0.0,0.0,0,1,0
44,18.0,40.66469,-73.96091,1.0,1.0,1,1,0.0,0.0,0,1,0
55,18.0,40.68855,-73.95405,1.0,1.0,1,1,0.0,0.0,0,1,0
35,18.0,40.69309,-73.97074,1.0,1.0,2,1,0.0,1.0,0,1,0
70,18.0,40.7063799999999,-73.96627,1.0,1.0,1,1,0.0,0.0,0,1,0
75,18.0,40.71635,-73.94609,1.0,1.0,1,1,0.0,0.0,0,1,0
190,167.0,40.77272,-73.95307,1.0,1.0,1,1,0.0,0.0,0,1,0
130,18.0,40.72582,-73.95843,1.0,1.0,2,1,0.0,1.0,1,0,0
150,101.0,40.7968,-73.93611,1.0,1.0,1,2,0.0,0.0,1,0,0
295,168.0,40.78012,-73.98439,1.0,1.0,1,1,0.0,0.0,1,0,0
135,64.0,40.68786,-73.97421,12.0,1.0,1,1,0.0,1.0,0,1,0
99,168.0,40.79044,-73.97513,1.0,1.0,1,2,0.0,0.0,0,1,0
75,32.0,40.69348,-73.9592699999999,12.0,1.0,1,1,0.0,1.0,0,1,0
109,168.0,40.78443,-73.97399,1.0,1.0,1,2,1.0,1.0,1,0,0
225,18.0,40.67679,-73.95639,1.0,2.0,2,2,0.0,1.0,1,0,0
245,101.0,40.73294,-73.9828199999999,1.0,1.5,2,1,0.0,1.0,1,0,0
180,18.0,40.68625,-73.96446,29.0,1.0,1,2,0.0,1.0,0,1,0
106,94.0,40.7401599999999,-73.97665,1.0,1.0,1,1,0.0,0.0,1,0,0
299,112.0,40.75023,-73.98293,1.0,2.0,2,2,1.0,0.0,1,0,0
165,18.0,40.66604,-73.95914,1.0,1.0,2,3,0.0,1.0,1,0,0
500,18.0,40.63593,-73.96076,21.0,2.5,5,6,0.0,1.0,1,0,0
250,101.0,40.71638,-73.99167,1.0,1.0,1,1,0.0,0.0,1,0,0
