price,neighbourhood,latitude,longitude,property_type,room_type,bathrooms,bedrooms,beds,host_is_superhost,parking
60,Brooklyn,40.6788,-73.97643,Bed and breakfast,Private room,3.0,1,4,0.0,1
250,Manhattan,40.80113,-73.94503,Condominium,Entire home/apt,2.5,2,4,0.0,1
106,Gravesend,40.60452,-73.97103,Apartment,Entire home/apt,1.0,1,1,1.0,-1
79,Harlem,40.7932,-73.9400699999999,Apartment,Entire home/apt,1.0,1,1,0.0,-1
170,Manhattan,40.80224,-73.94558,Apartment,Private room,1.5,1,1,0.0,-1
150,Bushwick,40.69055,-73.92357,Apartment,Entire home/apt,1.0,2,1,0.0,-1
500,Greenpoint,40.72315,-73.95226,House,Entire home/apt,2.0,3,4,1.0,1
429,Manhattan,40.73939,-73.9961199999999,Condominium,Entire home/apt,1.5,2,2,0.0,-1
300,Nolita,40.72133,-73.9966599999999,Apartment,Entire home/apt,1.0,2,3,0.0,-1
100,West Village,40.73712,-74.00166,Apartment,Private room,1.0,1,1,0.0,1
250,Manhattan,40.73862,-73.99758,Apartment,Entire home/apt,1.5,2,2,0.0,-1
350,Williamsburg,40.7158,-73.95803,Apartment,Entire home/apt,1.0,3,3,0.0,-1
255,Chelsea,40.74695,-74.00454,Condominium,Private room,1.0,1,2,0.0,-1
265,Brooklyn,40.67595,-73.98053,Loft,Entire home/apt,1.0,1,1,0.0,-1
190,Upper East Side,40.7694,-73.9572,Apartment,Entire home/apt,1.0,1,1,0.0,-1
100,Williamsburg,40.7093,-73.9497,Apartment,Private room,1.0,1,1,0.0,1
185,Brooklyn,40.71973,-73.9558199999999,Apartment,Entire home/apt,1.0,1,1,0.0,-1
100,Brooklyn,40.67688,-73.9859,Apartment,Entire home/apt,1.5,1,1,0.0,-1
40,Bushwick,40.7005099999999,-73.92204,Treehouse,Private room,1.0,1,1,0.0,1
80,Staten Island,40.60742,-74.14388,Bed and breakfast,Private room,1.0,1,1,0.0,1
100,Bay Ridge,40.61927,-74.0307,Apartment,Entire home/apt,1.0,1,1,1.0,1
80,Manhattan,40.8078,-73.95208,Apartment,Private room,1.0,1,1,0.0,-1
172,Brooklyn,40.68275,-73.96148,Apartment,Entire home/apt,1.0,2,4,0.0,1
199,Lower East Side,40.71892,-73.98401,Apartment,Entire home/apt,1.0,1,1,0.0,-1
250,Noho,40.72956,-73.99287,Apartment,Private room,1.0,1,1,0.0,-1
225,West Village,40.73507,-74.00048,Apartment,Entire home/apt,1.0,2,2,0.0,-1
270,Manhattan,40.72599,-74.00168,Apartment,Private room,1.0,1,2,0.0,-1
55,Queens,40.70163,-73.90867,Apartment,Private room,1.0,1,2,0.0,-1
160,Alphabet City,40.72264,-73.9837,Apartment,Entire home/apt,1.0,2,2,0.0,-1
241,Manhattan,40.73268,-73.99255,Loft,Entire home/apt,1.0,1,1,0.0,-1
300,Chinatown,40.71892,-73.99628,Apartment,Entire home/apt,1.0,1,1,0.0,-1
100,Lower East Side,40.71693,-73.98948,Apartment,Entire home/apt,1.0,1,1,0.0,-1
80,Lefferts Garden,40.66068,-73.96003,Apartment,Entire home/apt,1.0,1,1,0.0,1
110,Brooklyn,40.6922099999999,-73.95866,Apartment,Entire home/apt,1.0,1,1,0.0,-1
280,Bedford-Stuyvesant,40.68016,-73.94878,Apartment,Entire home/apt,1.0,1,1,0.0,-1
85,Brooklyn,40.67607,-73.94421,Apartment,Private room,1.0,1,1,0.0,-1
135,Manhattan,40.73834,-73.9823,Apartment,Entire home/apt,1.0,1,1,0.0,-1
246,West Village,40.73291,-74.00059,Apartment,Entire home/apt,1.0,1,1,0.0,-1
100,Bedford-Stuyvesant,40.68707,-73.91918,House,Private room,1.0,1,1,0.0,1
150,Crown Heights,40.67495,-73.95563,Apartment,Private room,1.0,1,1,0.0,-1
